id,category,category_JP,category_EN,category_ZH,category_KR,JP,EN,ZH,KR
232,fear,恐れ,Fear,恐惧,두려움,あなたは変化を事実として見ていますか それとも解釈として見ていますか,"Are you seeing change as fact, or as interpretation?",你看到的变化，是事实，还是一种解释？,"당신은 변화을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
233,release,手放す,Release,放下,놓아줌,今のあなたが正直に感じる終わらせるべきことは何ですか,What does what needs to come to an end honestly feel like to you right now?,此刻，你诚实地感受到的应该结束的事是什么？,지금의 당신이 솔직하게 느끼는 끝내야 할 것은(는) 무엇인가요?
234,hope,希望,Hope,希望,희망,あなたは続ける理由を抱えていますか それとも迎え入れ始めていますか,"Are you carrying your reason to continue, or beginning to welcome it?",你是在背负着继续下去的理由，还是开始迎接它？,"당신은 계속할 이유을(를) 짊어지고 있나요, 아니면 받아들이기 시작하고 있나요?"
235,relationship,関係,Relationship,关系,관계,今日のあなたにとって残っているつながりはどんな存在ですか,What kind of presence is the connection that still remains to you today?,今天，对你来说，仍然留下的连结是怎样的存在？,오늘 당신에게 아직 남아 있는 연결은(는) 어떤 존재인가요?
236,gratitude,感謝,Gratitude,感恩,감사,あなたの心は今あるものに何を求めていますか,What is your heart asking of what is already here?,你的心向此刻已经拥有的东西在寻求什么？,당신의 마음은 지금 이미 있는 것에 무엇을 바라고 있나요?
237,reflection,内省,Reflection,反思,성찰,今のあなたは気づいていない思いにどんな名前をつけますか,What name would you give to a feeling you have not yet noticed right now?,此刻，你会给你尚未察觉的心意取什么名字？,지금의 당신은 아직 알아차리지 못한 마음에 어떤 이름을 붙이고 싶나요?
238,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたはいのちを誰の視線で見ていますか,Through whose eyes are you seeing life itself?,你正透过谁的目光看着生命？,당신은 생명을(를) 누구의 시선으로 보고 있나요?
239,silence,沈黙,Silence,沉默,침묵,もし静かに座るなら見ることは何を語りそうですか,"If you sat quietly, what might simply seeing say?",如果你安静坐下，只是看见似乎会说些什么？,"조용히 앉아 있다면, 그저 보는 것은(는) 무엇을 말할 것 같나요?"
240,identity,自己,Identity,自我,자기,あなたの中に残っている人生の軸の灯は何ですか,What small lamp of the axis of your life still remains within you?,在你心里，仍然留着怎样一盏关于你人生的轴心的灯？,당신 안에는 아직도 삶의 축에 관한 어떤 작은 등불이 남아 있나요?
241,existence,存在,Existence,存在,존재,今あなたにとって本当に大切なものとは何ですか,What is what truly matters to you right now?,此刻，对你来说，真正重要的东西是什么？,지금 당신에게 진정으로 중요한 것은(는) 무엇인가요?
242,fear,恐れ,Fear,恐惧,두려움,今日のあなたは恐れにどう向き合いますか,How are you facing fear today?,今天，你要如何面对恐惧？,오늘 당신은 두려움에 어떻게 마주하나요?
243,release,手放す,Release,放下,놓아줌,あなたは手放せないものから何を学んでいますか,What is what you cannot let go of teaching you?,你放不下的东西正在教会你什么？,놓지 못하는 것은(는) 당신에게 무엇을 가르치고 있나요?
244,hope,希望,Hope,希望,희망,今のあなたに必要な希望は何ですか,What kind of hope do you need right now?,此刻，你需要怎样的希望？,지금의 당신에게 필요한 희망은(는) 무엇인가요?
245,relationship,関係,Relationship,关系,관계,あなたの中で静かに浮かぶ思い出す人は誰ですか,Who quietly comes to mind when you think of the person who comes to mind?,当你想到你想起的那个人时，在你心里静静浮现的是谁？,"문득 떠오르는 사람을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 이는 누구인가요?"
246,gratitude,感謝,Gratitude,感恩,감사,もし少し立ち止まるなら感謝できることをどう見ますか,"If you paused for a moment, how would you look at what you can be grateful for?",如果你稍微停下来，会如何看待你可以感恩的事？,"잠시 멈춘다면, 감사할 수 있는 것을(를) 어떻게 바라보게 될까요?"
247,reflection,内省,Reflection,反思,성찰,あなたは今の感情を事実として見ていますか それとも解釈として見ていますか,"Are you seeing your feelings right now as fact, or as interpretation?",你看到的你此刻的感受，是事实，还是一种解释？,"당신은 지금의 감정을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
248,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,今のあなたが正直に感じる死は何ですか,What does death honestly feel like to you right now?,此刻，你诚实地感受到的死亡是什么？,지금의 당신이 솔직하게 느끼는 죽음은(는) 무엇인가요?
249,silence,沈黙,Silence,沉默,침묵,あなたは呼吸を感じていますか それとも見過ごしていますか,"Are you sensing your breath, or passing it by?",你是在感受呼吸，还是正在把它忽略过去？,"당신은 호흡을(를) 느끼고 있나요, 아니면 스쳐 지나가고 있나요?"
250,identity,自己,Identity,自我,자기,今日のあなたにとってなりつつある自分はどんな存在ですか,What kind of presence is the person you are becoming to you today?,今天，对你来说，你正在成为的自己是怎样的存在？,오늘 당신에게 되어 가는 나은(는) 어떤 존재인가요?
251,existence,存在,Existence,存在,존재,あなたの心は自分の人生に何を求めていますか,What is your heart asking of your own life?,你的心向你自己的人生在寻求什么？,당신의 마음은 자기 자신의 삶에 무엇을 바라고 있나요?
252,fear,恐れ,Fear,恐惧,두려움,今のあなたは不安にどんな名前をつけますか,What name would you give to anxiety right now?,此刻，你会给不安取什么名字？,지금의 당신은 불안에 어떤 이름을 붙이고 싶나요?
253,release,手放す,Release,放下,놓아줌,あなたは執着を誰の視線で見ていますか,Through whose eyes are you seeing attachment?,你正透过谁的目光看着执着？,당신은 집착을(를) 누구의 시선으로 보고 있나요?
254,hope,希望,Hope,希望,희망,もし静かに座るなら小さな光は何を語りそうですか,"If you sat quietly, what might a small light say?",如果你安静坐下，微小的光似乎会说些什么？,"조용히 앉아 있다면, 작은 빛은(는) 무엇을 말할 것 같나요?"
255,relationship,関係,Relationship,关系,관계,あなたの中に残っている感謝したい人の灯は何ですか,What small lamp of the person you want to thank still remains within you?,在你心里，仍然留着怎样一盏关于你想感谢的人的灯？,당신 안에는 아직도 감사하고 싶은 사람에 관한 어떤 작은 등불이 남아 있나요?
256,gratitude,感謝,Gratitude,感恩,감사,今あなたにとって今日の恵みとは何ですか,What is today's blessing to you right now?,此刻，对你来说，今天的恩惠是什么？,지금 당신에게 오늘의 은혜은(는) 무엇인가요?
257,reflection,内省,Reflection,反思,성찰,今日のあなたは沈黙にどう向き合いますか,How are you facing silence today?,今天，你要如何面对沉默？,오늘 당신은 침묵에 어떻게 마주하나요?
258,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは最後の日から何を学んでいますか,What is your last day teaching you?,最后一天正在教会你什么？,마지막 날은(는) 당신에게 무엇을 가르치고 있나요?
259,silence,沈黙,Silence,沉默,침묵,今のあなたに必要な静けさは何ですか,What kind of stillness do you need right now?,此刻，你需要怎样的宁静？,지금의 당신에게 필요한 고요은(는) 무엇인가요?
260,identity,自己,Identity,自我,자기,あなたの中で静かに浮かぶ本当の自分は何ですか,What quietly rises within you when you think of your true self?,想到真正的自己时，在你心里静静浮现的是什么？,"진짜 나을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
261,existence,存在,Existence,存在,존재,もし少し立ち止まるなら生きる理由をどう見ますか,"If you paused for a moment, how would you look at your reason for living?",如果你稍微停下来，会如何看待你活着的理由？,"잠시 멈춘다면, 살아가는 이유을(를) 어떻게 바라보게 될까요?"
262,fear,恐れ,Fear,恐惧,두려움,あなたは避けていることを事実として見ていますか それとも解釈として見ていますか,"Are you seeing what you are avoiding as fact, or as interpretation?",你看到的你正在回避的事，是事实，还是一种解释？,"당신은 당신이 피하고 있는 것을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
263,release,手放す,Release,放下,놓아줌,今のあなたが正直に感じる古い役割は何ですか,What does an old role honestly feel like to you right now?,此刻，你诚实地感受到的旧有的角色是什么？,지금의 당신이 솔직하게 느끼는 오래된 역할은(는) 무엇인가요?
264,hope,希望,Hope,希望,희망,あなたは次の一歩を抱えていますか それとも迎え入れ始めていますか,"Are you carrying the next step, or beginning to welcome it?",你是在背负着下一步，还是开始迎接它？,"당신은 다음 한 걸음을(를) 짊어지고 있나요, 아니면 받아들이기 시작하고 있나요?"
265,relationship,関係,Relationship,关系,관계,今日のあなたにとって許したい人はどんな存在ですか,What kind of presence is the person you want to forgive to you today?,今天，对你来说，你想原谅的人是怎样的存在？,오늘 당신에게 용서하고 싶은 사람은(는) 어떤 존재인가요?
266,gratitude,感謝,Gratitude,感恩,감사,あなたの心は受け取った助けに何を求めていますか,What is your heart asking of the help you received?,你的心向你得到的帮助在寻求什么？,당신의 마음은 받은 도움에 무엇을 바라고 있나요?
267,reflection,内省,Reflection,反思,성찰,今のあなたは心の声にどんな名前をつけますか,What name would you give to the voice of your heart right now?,此刻，你会给你内心的声音取什么名字？,지금의 당신은 마음의 소리에 어떤 이름을 붙이고 싶나요?
268,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは残したいものを誰の視線で見ていますか,Through whose eyes are you seeing what you want to leave behind?,你正透过谁的目光看着你想留下的东西？,당신은 남기고 싶은 것을(를) 누구의 시선으로 보고 있나요?
269,silence,沈黙,Silence,沉默,침묵,もし静かに座るなら今ここは何を語りそうですか,"If you sat quietly, what might the here and now say?",如果你安静坐下，此时此地似乎会说些什么？,"조용히 앉아 있다면, 지금 여기은(는) 무엇을 말할 것 같나요?"
270,identity,自己,Identity,自我,자기,あなたの中に残っている信じているものの灯は何ですか,What small lamp of what you believe in still remains within you?,在你心里，仍然留着怎样一盏关于你所相信的东西的灯？,당신 안에는 아직도 당신이 믿는 것에 관한 어떤 작은 등불이 남아 있나요?
271,existence,存在,Existence,存在,존재,今あなたにとって今いる場所とは何ですか,What is where you stand now to you right now?,此刻，对你来说，你此刻所站的位置是什么？,지금 당신에게 지금 당신이 서 있는 자리은(는) 무엇인가요?
272,fear,恐れ,Fear,恐惧,두려움,今日のあなたは失うことにどう向き合いますか,How are you facing the possibility of loss today?,今天，你要如何面对失去这件事？,오늘 당신은 잃는 것에 어떻게 마주하나요?
273,release,手放す,Release,放下,놓아줌,あなたは重荷から何を学んでいますか,What is a burden teaching you?,负担正在教会你什么？,짐은(는) 당신에게 무엇을 가르치고 있나요?
274,hope,希望,Hope,希望,희망,今のあなたに必要な信じたい未来は何ですか,What kind of the future you want to believe in do you need right now?,此刻，你需要怎样的你想相信的未来？,지금의 당신에게 필요한 믿고 싶은 미래은(는) 무엇인가요?
275,relationship,関係,Relationship,关系,관계,あなたの中で静かに浮かぶ守りたい人は誰ですか,Who quietly comes to mind when you think of the person you want to protect?,当你想到你想守护的人时，在你心里静静浮现的是谁？,"지키고 싶은 사람을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 이는 누구인가요?"
276,gratitude,感謝,Gratitude,感恩,감사,もし少し立ち止まるなら残っている温かさをどう見ますか,"If you paused for a moment, how would you look at the warmth that still remains?",如果你稍微停下来，会如何看待仍然留存的温暖？,"잠시 멈춘다면, 남아 있는 따뜻함을(를) 어떻게 바라보게 될까요?"
277,reflection,内省,Reflection,反思,성찰,あなたは自分への厳しさを事実として見ていますか それとも解釈として見ていますか,"Are you seeing your harshness toward yourself as fact, or as interpretation?",你看到的你对自己的苛刻，是事实，还是一种解释？,"당신은 자신에게 향한 엄격함을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
278,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,今のあなたが正直に感じる別れは何ですか,What does parting honestly feel like to you right now?,此刻，你诚实地感受到的离别是什么？,지금의 당신이 솔직하게 느끼는 이별은(는) 무엇인가요?
279,silence,沈黙,Silence,沉默,침묵,あなたは空白を感じていますか それとも見過ごしていますか,"Are you sensing emptiness, or passing it by?",你是在感受空白，还是正在把它忽略过去？,"당신은 공백을(를) 느끼고 있나요, 아니면 스쳐 지나가고 있나요?"
280,identity,自己,Identity,自我,자기,今日のあなたにとって背負っている役割はどんな存在ですか,What kind of presence is the role you carry to you today?,今天，对你来说，你所背负的角色是怎样的存在？,오늘 당신에게 당신이 짊어진 역할은(는) 어떤 존재인가요?
281,existence,存在,Existence,存在,존재,あなたの心は本当の望みに何を求めていますか,What is your heart asking of your true desire?,你的心向你真正的愿望在寻求什么？,당신의 마음은 당신의 진정한 바람에 무엇을 바라고 있나요?
282,fear,恐れ,Fear,恐惧,두려움,今のあなたは人の期待にどんな名前をつけますか,What name would you give to other people's expectations right now?,此刻，你会给他人的期待取什么名字？,지금의 당신은 타인의 기대에 어떤 이름을 붙이고 싶나요?
283,release,手放す,Release,放下,놓아줌,あなたは後悔を誰の視線で見ていますか,Through whose eyes are you seeing regret?,你正透过谁的目光看着后悔？,당신은 후회을(를) 누구의 시선으로 보고 있나요?
284,hope,希望,Hope,希望,희망,もし静かに座るならやり直す力は何を語りそうですか,"If you sat quietly, what might the strength to begin again say?",如果你安静坐下，重新开始的力量似乎会说些什么？,"조용히 앉아 있다면, 다시 시작할 힘은(는) 무엇을 말할 것 같나요?"
285,relationship,関係,Relationship,关系,관계,あなたの中に残っている距離を置くべき関係の灯は何ですか,What small lamp of a relationship that needs distance still remains within you?,在你心里，仍然留着怎样一盏关于需要保持距离的关系的灯？,당신 안에는 아직도 거리를 두어야 할 관계에 관한 어떤 작은 등불이 남아 있나요?
286,gratitude,感謝,Gratitude,感恩,감사,今あなたにとって小さな幸せとは何ですか,What is a small happiness to you right now?,此刻，对你来说，微小的幸福是什么？,지금 당신에게 작은 행복은(는) 무엇인가요?
287,reflection,内省,Reflection,反思,성찰,今日のあなたは疲れにどう向き合いますか,How are you facing your fatigue today?,今天，你要如何面对你的疲惫？,오늘 당신은 피로에 어떻게 마주하나요?
288,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは失った人から何を学んでいますか,What is the person you lost teaching you?,你失去的人正在教会你什么？,잃은 사람은(는) 당신에게 무엇을 가르치고 있나요?
289,silence,沈黙,Silence,沉默,침묵,今のあなたに必要な一歩手前の答えは何ですか,What kind of the answer just before words do you need right now?,此刻，你需要怎样的话语之前的答案？,지금의 당신에게 필요한 말이 되기 직전의 답은(는) 무엇인가요?
290,identity,自己,Identity,自我,자기,あなたの中で静かに浮かぶ変わりたい部分は何ですか,What quietly rises within you when you think of the part of you that wants to change?,想到你想改变的那一部分时，在你心里静静浮现的是什么？,"변하고 싶은 부분을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
291,existence,存在,Existence,存在,존재,もし少し立ち止まるなら心の静けさをどう見ますか,"If you paused for a moment, how would you look at the quietness of your heart?",如果你稍微停下来，会如何看待你内心的宁静？,"잠시 멈춘다면, 마음의 고요을(를) 어떻게 바라보게 될까요?"
292,fear,恐れ,Fear,恐惧,두려움,あなたは失敗を事実として見ていますか それとも解釈として見ていますか,"Are you seeing failure as fact, or as interpretation?",你看到的失败，是事实，还是一种解释？,"당신은 실패을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
293,release,手放す,Release,放下,놓아줌,今のあなたが正直に感じる怒りは何ですか,What does anger honestly feel like to you right now?,此刻，你诚实地感受到的愤怒是什么？,지금의 당신이 솔직하게 느끼는 분노은(는) 무엇인가요?
294,hope,希望,Hope,希望,희망,あなたは救いを抱えていますか それとも迎え入れ始めていますか,"Are you carrying relief, or beginning to welcome it?",你是在背负着救赎，还是开始迎接它？,"당신은 구원을(를) 짊어지고 있나요, 아니면 받아들이기 시작하고 있나요?"
295,relationship,関係,Relationship,关系,관계,今日のあなたにとって言えなかった言葉はどんな存在ですか,What kind of presence is the words you could not say to you today?,今天，对你来说，你没能说出口的话是怎样的存在？,오늘 당신에게 말하지 못한 말은(는) 어떤 존재인가요?
296,gratitude,感謝,Gratitude,感恩,감사,あなたの心は支えに何を求めていますか,What is your heart asking of the support that holds you up?,你的心向支撑你的力量在寻求什么？,당신의 마음은 당신을 지탱하는 것에 무엇을 바라고 있나요?
297,reflection,内省,Reflection,反思,성찰,今のあなたは本音にどんな名前をつけますか,What name would you give to your true feelings right now?,此刻，你会给你真实的心声取什么名字？,지금의 당신은 본심에 어떤 이름을 붙이고 싶나요?
298,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは言えなかった感謝を誰の視線で見ていますか,Through whose eyes are you seeing the gratitude you could not say?,你正透过谁的目光看着没能说出口的感谢？,당신은 말하지 못한 감사을(를) 누구의 시선으로 보고 있나요?
299,silence,沈黙,Silence,沉默,침묵,もし静かに座るなら語らないことは何を語りそうですか,"If you sat quietly, what might what remains unsaid say?",如果你安静坐下，没有说出口的东西似乎会说些什么？,"조용히 앉아 있다면, 말하지 않는 것은(는) 무엇을 말할 것 같나요?"
300,identity,自己,Identity,自我,자기,あなたの中に残っている守ってきた価値観の灯は何ですか,What small lamp of the values you have protected still remains within you?,在你心里，仍然留着怎样一盏关于你一直守护的价值观的灯？,당신 안에는 아직도 지켜 온 가치관에 관한 어떤 작은 등불이 남아 있나요?
301,existence,存在,Existence,存在,존재,今あなたにとって進む方向とは何ですか,What is the direction you are heading to you right now?,此刻，对你来说，你前行的方向是什么？,지금 당신에게 나아갈 방향은(는) 무엇인가요?
302,fear,恐れ,Fear,恐惧,두려움,今日のあなたは孤独にどう向き合いますか,How are you facing loneliness today?,今天，你要如何面对孤独？,오늘 당신은 외로움에 어떻게 마주하나요?
303,release,手放す,Release,放下,놓아줌,あなたは言い訳から何を学んでいますか,What is an excuse teaching you?,借口正在教会你什么？,변명은(는) 당신에게 무엇을 가르치고 있나요?
304,hope,希望,Hope,希望,희망,今のあなたに必要な明日は何ですか,What kind of tomorrow do you need right now?,此刻，你需要怎样的明天？,지금의 당신에게 필요한 내일은(는) 무엇인가요?
305,relationship,関係,Relationship,关系,관계,あなたの中で静かに浮かぶ受け取った優しさは何ですか,What quietly comes to mind when you think of the kindness you received?,想到你收到的温柔时，在你心里静静浮现的是什么？,"받았던 다정함을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
306,gratitude,感謝,Gratitude,感恩,감사,もし少し立ち止まるなら平凡な奇跡をどう見ますか,"If you paused for a moment, how would you look at an ordinary miracle?",如果你稍微停下来，会如何看待平凡的奇迹？,"잠시 멈춘다면, 평범한 기적을(를) 어떻게 바라보게 될까요?"
307,reflection,内省,Reflection,反思,성찰,あなたは選択を事実として見ていますか それとも解釈として見ていますか,"Are you seeing a choice as fact, or as interpretation?",你看到的选择，是事实，还是一种解释？,"당신은 선택을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
308,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,今のあなたが正直に感じる限りある時間は何ですか,What does limited time honestly feel like to you right now?,此刻，你诚实地感受到的有限的时间是什么？,지금의 당신이 솔직하게 느끼는 유한한 시간은(는) 무엇인가요?
309,silence,沈黙,Silence,沉默,침묵,あなたは待つことを感じていますか それとも見過ごしていますか,"Are you sensing waiting, or passing it by?",你是在感受等待，还是正在把它忽略过去？,"당신은 기다림을(를) 느끼고 있나요, 아니면 스쳐 지나가고 있나요?"
310,identity,自己,Identity,自我,자기,今日のあなたにとって譲れないものはどんな存在ですか,What kind of presence is what you cannot compromise on to you today?,今天，对你来说，你无法让步的东西是怎样的存在？,오늘 당신에게 양보할 수 없는 것은(는) 어떤 존재인가요?
311,existence,存在,Existence,存在,존재,あなたの心は今日という時間に何を求めていますか,What is your heart asking of this day?,你的心向今天这段时间在寻求什么？,당신의 마음은 오늘이라는 시간에 무엇을 바라고 있나요?
312,fear,恐れ,Fear,恐惧,두려움,今のあなたは変化にどんな名前をつけますか,What name would you give to change right now?,此刻，你会给变化取什么名字？,지금의 당신은 변화에 어떤 이름을 붙이고 싶나요?
313,release,手放す,Release,放下,놓아줌,あなたは終わらせるべきことを誰の視線で見ていますか,Through whose eyes are you seeing what needs to come to an end?,你正透过谁的目光看着应该结束的事？,당신은 끝내야 할 것을(를) 누구의 시선으로 보고 있나요?
314,hope,希望,Hope,希望,희망,もし静かに座るなら続ける理由は何を語りそうですか,"If you sat quietly, what might your reason to continue say?",如果你安静坐下，继续下去的理由似乎会说些什么？,"조용히 앉아 있다면, 계속할 이유은(는) 무엇을 말할 것 같나요?"
315,relationship,関係,Relationship,关系,관계,あなたの中に残っている残っているつながりの灯は何ですか,What small lamp of the connection that still remains still remains within you?,在你心里，仍然留着怎样一盏关于仍然留下的连结的灯？,당신 안에는 아직도 아직 남아 있는 연결에 관한 어떤 작은 등불이 남아 있나요?
316,gratitude,感謝,Gratitude,感恩,감사,今あなたにとって今あるものとは何ですか,What is what is already here to you right now?,此刻，对你来说，此刻已经拥有的东西是什么？,지금 당신에게 지금 이미 있는 것은(는) 무엇인가요?
317,reflection,内省,Reflection,反思,성찰,今日のあなたは気づいていない思いにどう向き合いますか,How are you facing a feeling you have not yet noticed today?,今天，你要如何面对你尚未察觉的心意？,오늘 당신은 아직 알아차리지 못한 마음에 어떻게 마주하나요?
318,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたはいのちから何を学んでいますか,What is life itself teaching you?,生命正在教会你什么？,생명은(는) 당신에게 무엇을 가르치고 있나요?
319,silence,沈黙,Silence,沉默,침묵,今のあなたに必要な見ることは何ですか,What kind of simply seeing do you need right now?,此刻，你需要怎样的只是看见？,지금의 당신에게 필요한 그저 보는 것은(는) 무엇인가요?
320,identity,自己,Identity,自我,자기,あなたの中で静かに浮かぶ人生の軸は何ですか,What quietly rises within you when you think of the axis of your life?,想到你人生的轴心时，在你心里静静浮现的是什么？,"삶의 축을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
321,existence,存在,Existence,存在,존재,もし少し立ち止まるなら本当に大切なものをどう見ますか,"If you paused for a moment, how would you look at what truly matters?",如果你稍微停下来，会如何看待真正重要的东西？,"잠시 멈춘다면, 진정으로 중요한 것을(를) 어떻게 바라보게 될까요?"
322,fear,恐れ,Fear,恐惧,두려움,あなたは恐れを事実として見ていますか それとも解釈として見ていますか,"Are you seeing fear as fact, or as interpretation?",你看到的恐惧，是事实，还是一种解释？,"당신은 두려움을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
323,release,手放す,Release,放下,놓아줌,今のあなたが正直に感じる手放せないものは何ですか,What does what you cannot let go of honestly feel like to you right now?,此刻，你诚实地感受到的你放不下的东西是什么？,지금의 당신이 솔직하게 느끼는 놓지 못하는 것은(는) 무엇인가요?
324,hope,希望,Hope,希望,희망,あなたは希望を抱えていますか それとも迎え入れ始めていますか,"Are you carrying hope, or beginning to welcome it?",你是在背负着希望，还是开始迎接它？,"당신은 희망을(를) 짊어지고 있나요, 아니면 받아들이기 시작하고 있나요?"
325,relationship,関係,Relationship,关系,관계,今日のあなたにとって思い出す人はどんな存在ですか,What kind of presence is the person who comes to mind to you today?,今天，对你来说，你想起的那个人是怎样的存在？,오늘 당신에게 문득 떠오르는 사람은(는) 어떤 존재인가요?
326,gratitude,感謝,Gratitude,感恩,감사,あなたの心は感謝できることに何を求めていますか,What is your heart asking of what you can be grateful for?,你的心向你可以感恩的事在寻求什么？,당신의 마음은 감사할 수 있는 것에 무엇을 바라고 있나요?
327,reflection,内省,Reflection,反思,성찰,今のあなたは今の感情にどんな名前をつけますか,What name would you give to your feelings right now right now?,此刻，你会给你此刻的感受取什么名字？,지금의 당신은 지금의 감정에 어떤 이름을 붙이고 싶나요?
328,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは死を誰の視線で見ていますか,Through whose eyes are you seeing death?,你正透过谁的目光看着死亡？,당신은 죽음을(를) 누구의 시선으로 보고 있나요?
329,silence,沈黙,Silence,沉默,침묵,もし静かに座るなら呼吸は何を語りそうですか,"If you sat quietly, what might your breath say?",如果你安静坐下，呼吸似乎会说些什么？,"조용히 앉아 있다면, 호흡은(는) 무엇을 말할 것 같나요?"
330,identity,自己,Identity,自我,자기,あなたの中に残っているなりつつある自分の灯は何ですか,What small lamp of the person you are becoming still remains within you?,在你心里，仍然留着怎样一盏关于你正在成为的自己的灯？,당신 안에는 아직도 되어 가는 나에 관한 어떤 작은 등불이 남아 있나요?
331,existence,存在,Existence,存在,존재,今あなたにとって自分の人生とは何ですか,What is your own life to you right now?,此刻，对你来说，你自己的人生是什么？,지금 당신에게 자기 자신의 삶은(는) 무엇인가요?
332,fear,恐れ,Fear,恐惧,두려움,今日のあなたは不安にどう向き合いますか,How are you facing anxiety today?,今天，你要如何面对不安？,오늘 당신은 불안에 어떻게 마주하나요?
333,release,手放す,Release,放下,놓아줌,あなたは執着から何を学んでいますか,What is attachment teaching you?,执着正在教会你什么？,집착은(는) 당신에게 무엇을 가르치고 있나요?
334,hope,希望,Hope,希望,희망,今のあなたに必要な小さな光は何ですか,What kind of a small light do you need right now?,此刻，你需要怎样的微小的光？,지금의 당신에게 필요한 작은 빛은(는) 무엇인가요?
335,relationship,関係,Relationship,关系,관계,あなたの中で静かに浮かぶ感謝したい人は誰ですか,Who quietly comes to mind when you think of the person you want to thank?,当你想到你想感谢的人时，在你心里静静浮现的是谁？,"감사하고 싶은 사람을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 이는 누구인가요?"
336,gratitude,感謝,Gratitude,感恩,감사,もし少し立ち止まるなら今日の恵みをどう見ますか,"If you paused for a moment, how would you look at today's blessing?",如果你稍微停下来，会如何看待今天的恩惠？,"잠시 멈춘다면, 오늘의 은혜을(를) 어떻게 바라보게 될까요?"
337,reflection,内省,Reflection,反思,성찰,あなたは沈黙を事実として見ていますか それとも解釈として見ていますか,"Are you seeing silence as fact, or as interpretation?",你看到的沉默，是事实，还是一种解释？,"당신은 침묵을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
338,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,今のあなたが正直に感じる最後の日は何ですか,What does your last day honestly feel like to you right now?,此刻，你诚实地感受到的最后一天是什么？,지금의 당신이 솔직하게 느끼는 마지막 날은(는) 무엇인가요?
339,silence,沈黙,Silence,沉默,침묵,あなたは静けさを感じていますか それとも見過ごしていますか,"Are you sensing stillness, or passing it by?",你是在感受宁静，还是正在把它忽略过去？,"당신은 고요을(를) 느끼고 있나요, 아니면 스쳐 지나가고 있나요?"
340,identity,自己,Identity,自我,자기,今日のあなたにとって本当の自分はどんな存在ですか,What kind of presence is your true self to you today?,今天，对你来说，真正的自己是怎样的存在？,오늘 당신에게 진짜 나은(는) 어떤 존재인가요?
341,existence,存在,Existence,存在,존재,あなたの心は生きる理由に何を求めていますか,What is your heart asking of your reason for living?,你的心向你活着的理由在寻求什么？,당신의 마음은 살아가는 이유에 무엇을 바라고 있나요?
342,fear,恐れ,Fear,恐惧,두려움,今のあなたは避けていることにどんな名前をつけますか,What name would you give to what you are avoiding right now?,此刻，你会给你正在回避的事取什么名字？,지금의 당신은 당신이 피하고 있는 것에 어떤 이름을 붙이고 싶나요?
343,release,手放す,Release,放下,놓아줌,あなたは古い役割を誰の視線で見ていますか,Through whose eyes are you seeing an old role?,你正透过谁的目光看着旧有的角色？,당신은 오래된 역할을(를) 누구의 시선으로 보고 있나요?
344,hope,希望,Hope,希望,희망,もし静かに座るなら次の一歩は何を語りそうですか,"If you sat quietly, what might the next step say?",如果你安静坐下，下一步似乎会说些什么？,"조용히 앉아 있다면, 다음 한 걸음은(는) 무엇을 말할 것 같나요?"
345,relationship,関係,Relationship,关系,관계,あなたの中に残っている許したい人の灯は何ですか,What small lamp of the person you want to forgive still remains within you?,在你心里，仍然留着怎样一盏关于你想原谅的人的灯？,당신 안에는 아직도 용서하고 싶은 사람에 관한 어떤 작은 등불이 남아 있나요?
346,gratitude,感謝,Gratitude,感恩,감사,今あなたにとって受け取った助けとは何ですか,What is the help you received to you right now?,此刻，对你来说，你得到的帮助是什么？,지금 당신에게 받은 도움은(는) 무엇인가요?
